Canada-Ontario, Death rates (period 1x1), 	Last modified: 21 Dec 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1921           0             0.097771        0.129068        0.113758
  1921           1             0.012949        0.014421        0.013696
  1921           2             0.005210        0.007372        0.006306
  1921           3             0.004706        0.004567        0.004636
  1921           4             0.004611        0.004326        0.004467
  1921           5             0.003722        0.003614        0.003667
  1921           6             0.002653        0.003932        0.003299
  1921           7             0.002953        0.003508        0.003233
  1921           8             0.002374        0.002854        0.002617
  1921           9             0.001984        0.002552        0.002271
  1921          10             0.002391        0.001692        0.002038
  1921          11             0.002097        0.002061        0.002079
  1921          12             0.001773        0.001888        0.001831
  1921          13             0.001760        0.001841        0.001801
  1921          14             0.001893        0.001825        0.001859
  1921          15             0.001994        0.002450        0.002224
  1921          16             0.001901        0.002445        0.002175
  1921          17             0.002152        0.003815        0.002986
  1921          18             0.002717        0.003393        0.003053
  1921          19             0.003323        0.003238        0.003282
  1921          20             0.002981        0.002903        0.002943
  1921          21             0.003394        0.004128        0.003747
  1921          22             0.003168        0.003640        0.003395
  1921          23             0.003383        0.004177        0.003767
  1921          24             0.004208        0.003619        0.003921
  1921          25             0.003981        0.004291        0.004133
  1921          26             0.004658        0.004251        0.004456
  1921          27             0.004133        0.003964        0.004049
  1921          28             0.004500        0.004391        0.004445
  1921          29             0.004031        0.004460        0.004246
  1921          30             0.004863        0.003749        0.004304
  1921          31             0.003709        0.003976        0.003843
  1921          32             0.004474        0.004386        0.004429
  1921          33             0.003986        0.004178        0.004084
  1921          34             0.005074        0.004051        0.004552
  1921          35             0.005216        0.005574        0.005400
  1921          36             0.005837        0.004184        0.004987
  1921          37             0.005989        0.004765        0.005358
  1921          38             0.004978        0.006178        0.005596
  1921          39             0.005754        0.003887        0.004793
  1921          40             0.006178        0.006478        0.006332
  1921          41             0.004647        0.005271        0.004967
  1921          42             0.007458        0.006869        0.007156
  1921          43             0.005806        0.005333        0.005563
  1921          44             0.006794        0.005799        0.006282
  1921          45             0.008524        0.007609        0.008052
  1921          46             0.006989        0.007016        0.007003
  1921          47             0.006403        0.006248        0.006323
  1921          48             0.007448        0.007647        0.007550
  1921          49             0.007786        0.006514        0.007133
  1921          50             0.008873        0.010699        0.009806
  1921          51             0.008157        0.008199        0.008178
  1921          52             0.012284        0.010904        0.011582
  1921          53             0.011077        0.010811        0.010941
  1921          54             0.011438        0.012238        0.011847
  1921          55             0.012682        0.013497        0.013100
  1921          56             0.011273        0.014594        0.012980
  1921          57             0.012802        0.014133        0.013486
  1921          58             0.017474        0.017472        0.017473
  1921          59             0.015383        0.018820        0.017136
  1921          60             0.023094        0.022805        0.022947
  1921          61             0.017040        0.018192        0.017623
  1921          62             0.018582        0.025346        0.022003
  1921          63             0.022308        0.025412        0.023880
  1921          64             0.023742        0.025430        0.024599
  1921          65             0.031619        0.033299        0.032475
  1921          66             0.031369        0.029636        0.030483
  1921          67             0.031749        0.035794        0.033816
  1921          68             0.042795        0.039175        0.040952
  1921          69             0.036375        0.036240        0.036307
  1921          70             0.055394        0.058227        0.056823
  1921          71             0.046827        0.047720        0.047275
  1921          72             0.054361        0.064694        0.059522
  1921          73             0.060858        0.070610        0.065702
  1921          74             0.066115        0.067157        0.066629
  1921          75             0.082608        0.077423        0.080063
  1921          76             0.084593        0.087240        0.085887
  1921          77             0.077667        0.092538        0.084898
  1921          78             0.111062        0.110258        0.110673
  1921          79             0.082263        0.103855        0.092606
  1921          80             0.101362        0.128252        0.113962
  1921          81             0.087770        0.096982        0.091992
  1921          82             0.116672        0.115393        0.116095
  1921          83             0.142283        0.147082        0.144473
  1921          84             0.154612        0.174561        0.163847
  1921          85             0.165724        0.151411        0.159147
  1921          86             0.159527        0.201695        0.178566
  1921          87             0.214855        0.224814        0.219332
  1921          88             0.211614        0.259863        0.233467
  1921          89             0.218804        0.247542        0.231498
  1921          90             0.276231        0.225880        0.254909
  1921          91             0.221798        0.229867        0.225168
  1921          92             0.212459        0.268989        0.236503
  1921          93             0.306067        0.286093        0.297597
  1921          94             0.349922        0.316634        0.335582
  1921          95             0.345490        0.347144        0.346231
  1921          96             0.378903        0.247249        0.321774
  1921          97             0.251720        0.245955        0.249215
  1921          98             0.341969        0.501707        0.410448
  1921          99             0.457192        0.133407        0.307889
  1921         100             0.562200        0.402426        0.475063
  1921         101             0.649325        0.424176        0.520399
  1921         102             0.785271        0.443449        0.575695
  1921         103             1.063361        0.435208        0.628281
  1921         104             1.470356        0.452107        0.700772
  1921         105             2.424870        0.484591        0.814815
  1921         106             6.000000        0.288770        0.551020
  1921         107                   .        0.000000        0.000000
  1921         108                   .        0.000000        0.000000
  1921         109                   .              .              .
  1921         110+                  .              .              .
  1922           0             0.089964        0.118227        0.104361
  1922           1             0.012849        0.014771        0.013825
  1922           2             0.006009        0.006660        0.006339
  1922           3             0.003702        0.004376        0.004043
  1922           4             0.003434        0.003768        0.003603
  1922           5             0.002913        0.002760        0.002836
  1922           6             0.002090        0.002556        0.002325
  1922           7             0.002047        0.002746        0.002400
  1922           8             0.002014        0.002533        0.002276
  1922           9             0.001617        0.001823        0.001721
  1922          10             0.001588        0.002006        0.001799
  1922          11             0.001918        0.001648        0.001782
  1922          12             0.001493        0.002196        0.001847
  1922          13             0.001776        0.002085        0.001932
  1922          14             0.001495        0.001661        0.001578
  1922          15             0.001700        0.001978        0.001840
  1922          16             0.001912        0.002449        0.002183
  1922          17             0.002897        0.002448        0.002671
  1922          18             0.002764        0.002780        0.002772
  1922          19             0.002624        0.003264        0.002940
  1922          20             0.002796        0.002941        0.002867
  1922          21             0.003206        0.003539        0.003367
  1922          22             0.003382        0.003906        0.003633
  1922          23             0.003879        0.004381        0.004120
  1922          24             0.004304        0.002742        0.003547
  1922          25             0.003316        0.003136        0.003228
  1922          26             0.003494        0.004097        0.003791
  1922          27             0.004672        0.004240        0.004457
  1922          28             0.004160        0.003351        0.003757
  1922          29             0.003478        0.004044        0.003760
  1922          30             0.005104        0.004622        0.004863
  1922          31             0.003981        0.003076        0.003527
  1922          32             0.004989        0.004482        0.004733
  1922          33             0.004517        0.004247        0.004380
  1922          34             0.004013        0.003678        0.003843
  1922          35             0.004828        0.005044        0.004938
  1922          36             0.004872        0.004574        0.004719
  1922          37             0.004690        0.004074        0.004374
  1922          38             0.006302        0.004835        0.005549
  1922          39             0.004791        0.004556        0.004670
  1922          40             0.006420        0.006397        0.006408
  1922          41             0.005001        0.003627        0.004297
  1922          42             0.006752        0.006601        0.006675
  1922          43             0.005624        0.005255        0.005435
  1922          44             0.006632        0.005433        0.006017
  1922          45             0.007004        0.007087        0.007047
  1922          46             0.008686        0.006661        0.007644
  1922          47             0.007374        0.006850        0.007104
  1922          48             0.007613        0.006793        0.007191
  1922          49             0.008422        0.008096        0.008255
  1922          50             0.009730        0.009593        0.009660
  1922          51             0.008285        0.007810        0.008043
  1922          52             0.010744        0.010221        0.010478
  1922          53             0.008942        0.008798        0.008869
  1922          54             0.012397        0.010383        0.011370
  1922          55             0.011853        0.014193        0.013050
  1922          56             0.013411        0.013219        0.013313
  1922          57             0.014703        0.017471        0.016127
  1922          58             0.015691        0.017545        0.016642
  1922          59             0.015675        0.017301        0.016505
  1922          60             0.019434        0.021152        0.020307
  1922          61             0.015691        0.019666        0.017701
  1922          62             0.024423        0.025673        0.025053
  1922          63             0.022171        0.025621        0.023910
  1922          64             0.023253        0.025142        0.024208
  1922          65             0.030672        0.033144        0.031925
  1922          66             0.028041        0.032443        0.030279
  1922          67             0.031312        0.038002        0.034718
  1922          68             0.041620        0.044825        0.043249
  1922          69             0.036015        0.042952        0.039522
  1922          70             0.052185        0.059913        0.056073
  1922          71             0.045246        0.047360        0.046303
  1922          72             0.062724        0.069214        0.065952
  1922          73             0.058090        0.071825        0.064889
  1922          74             0.061454        0.078709        0.069965
  1922          75             0.080087        0.082646        0.081344
  1922          76             0.097450        0.081348        0.089587
  1922          77             0.088536        0.093952        0.091166
  1922          78             0.112105        0.115168        0.113585
  1922          79             0.099710        0.113021        0.106111
  1922          80             0.112446        0.132328        0.121763
  1922          81             0.102506        0.108051        0.105083
  1922          82             0.129519        0.145077        0.136620
  1922          83             0.139762        0.149893        0.144313
  1922          84             0.166336        0.174964        0.170250
  1922          85             0.175845        0.209585        0.191375
  1922          86             0.198663        0.241061        0.217893
  1922          87             0.177284        0.220962        0.196592
  1922          88             0.215512        0.199784        0.208529
  1922          89             0.187431        0.231774        0.207278
  1922          90             0.275432        0.317327        0.293748
  1922          91             0.202598        0.217895        0.209052
  1922          92             0.220083        0.213184        0.217236
  1922          93             0.329183        0.251806        0.296056
  1922          94             0.399402        0.277689        0.345829
  1922          95             0.277112        0.285356        0.280744
  1922          96             0.265998        0.538525        0.386462
  1922          97             0.343623        0.197186        0.280189
  1922          98             0.603404        0.490172        0.553008
  1922          99             0.329255        0.204022        0.273278
  1922         100             0.241768        0.638378        0.431700
  1922         101             0.239629        0.734719        0.494541
  1922         102             0.252656        0.885974        0.594124
  1922         103             0.161787        1.089076        0.698670
  1922         104             0.000000        1.195963        0.793527
  1922         105             0.000000        1.524372        1.183486
  1922         106                   .        2.310559        2.310559
  1922         107                   .        2.295652        2.295652
  1922         108                   .        4.133333        4.133333
  1922         109                   .              .              .
  1922         110+                  .              .              .
  1923           0             0.090758        0.118379        0.104801
  1923           1             0.013845        0.014818        0.014339
  1923           2             0.005661        0.006252        0.005960
  1923           3             0.004046        0.004893        0.004475
  1923           4             0.003388        0.002905        0.003144
  1923           5             0.002612        0.002557        0.002584
  1923           6             0.002301        0.003135        0.002722
  1923           7             0.002421        0.002062        0.002239
  1923           8             0.001736        0.002483        0.002112
  1923           9             0.002101        0.001514        0.001806
  1923          10             0.001399        0.001722        0.001562
  1923          11             0.001263        0.002056        0.001661
  1923          12             0.001795        0.001823        0.001809
  1923          13             0.001493        0.001521        0.001507
  1923          14             0.001944        0.002331        0.002139
  1923          15             0.001815        0.002495        0.002157
  1923          16             0.003069        0.002326        0.002695
  1923          17             0.002267        0.002282        0.002274
  1923          18             0.002171        0.002838        0.002504
  1923          19             0.002609        0.003367        0.002982
  1923          20             0.003014        0.002696        0.002860
  1923          21             0.003113        0.003885        0.003483
  1923          22             0.003369        0.003277        0.003325
  1923          23             0.002998        0.003320        0.003152
  1923          24             0.003099        0.002895        0.003000
  1923          25             0.003600        0.003535        0.003568
  1923          26             0.003542        0.003570        0.003556
  1923          27             0.003536        0.003260        0.003399
  1923          28             0.004457        0.004863        0.004659
  1923          29             0.003490        0.004264        0.003876
  1923          30             0.004286        0.004967        0.004627
  1923          31             0.003329        0.003263        0.003296
  1923          32             0.004847        0.004787        0.004817
  1923          33             0.004730        0.003375        0.004046
  1923          34             0.003693        0.003565        0.003628
  1923          35             0.005334        0.005449        0.005392
  1923          36             0.004347        0.004386        0.004367
  1923          37             0.005276        0.004191        0.004724
  1923          38             0.004901        0.005431        0.005171
  1923          39             0.006407        0.005705        0.006049
  1923          40             0.005112        0.005947        0.005538
  1923          41             0.004595        0.004454        0.004523
  1923          42             0.007190        0.005925        0.006543
  1923          43             0.006195        0.006143        0.006168
  1923          44             0.005336        0.005009        0.005169
  1923          45             0.007583        0.006457        0.007008
  1923          46             0.007441        0.006024        0.006718
  1923          47             0.006678        0.005906        0.006284
  1923          48             0.009191        0.008629        0.008905
  1923          49             0.008284        0.009173        0.008736
  1923          50             0.010178        0.008928        0.009543
  1923          51             0.009094        0.007948        0.008513
  1923          52             0.010673        0.011072        0.010875
  1923          53             0.010692        0.010609        0.010650
  1923          54             0.009506        0.011738        0.010641
  1923          55             0.013536        0.014859        0.014210
  1923          56             0.013969        0.015203        0.014599
  1923          57             0.016118        0.016719        0.016425
  1923          58             0.018311        0.020315        0.019335
  1923          59             0.016651        0.018948        0.017819
  1923          60             0.019725        0.024096        0.021938
  1923          61             0.017544        0.021538        0.019556
  1923          62             0.025097        0.028339        0.026725
  1923          63             0.026872        0.028126        0.027502
  1923          64             0.025903        0.026595        0.026251
  1923          65             0.032339        0.033595        0.032973
  1923          66             0.031823        0.035442        0.033653
  1923          67             0.032760        0.037162        0.034988
  1923          68             0.044428        0.045400        0.044919
  1923          69             0.042996        0.052261        0.047645
  1923          70             0.049824        0.052970        0.051394
  1923          71             0.044291        0.048252        0.046254
  1923          72             0.060667        0.069350        0.064943
  1923          73             0.066546        0.080921        0.073598
  1923          74             0.073936        0.076724        0.075301
  1923          75             0.089543        0.080499        0.085128
  1923          76             0.088416        0.093652        0.090964
  1923          77             0.095635        0.099374        0.097448
  1923          78             0.123217        0.118529        0.120955
  1923          79             0.110432        0.125567        0.117688
  1923          80             0.129029        0.131336        0.130101
  1923          81             0.108138        0.108657        0.108380
  1923          82             0.142449        0.153869        0.147735
  1923          83             0.139902        0.175473        0.155974
  1923          84             0.161192        0.182446        0.170623
  1923          85             0.190482        0.205078        0.197033
  1923          86             0.210196        0.247770        0.227224
  1923          87             0.216626        0.247967        0.230541
  1923          88             0.234432        0.239585        0.236684
  1923          89             0.232502        0.248475        0.239559
  1923          90             0.269732        0.303842        0.284737
  1923          91             0.205270        0.189097        0.198282
  1923          92             0.238778        0.347267        0.283922
  1923          93             0.342952        0.280725        0.317349
  1923          94             0.344427        0.266090        0.309092
  1923          95             0.366365        0.292987        0.332654
  1923          96             0.384946        0.237347        0.320589
  1923          97             0.168132        0.453043        0.289561
  1923          98             0.365268        0.546026        0.441285
  1923          99             0.271046        0.593192        0.410342
  1923         100             0.397815        0.574456        0.468004
  1923         101             0.392413        0.653174        0.494593
  1923         102             0.415951        0.776534        0.562534
  1923         103             0.472254        1.097361        0.712042
  1923         104             0.524211        1.847191        0.946237
  1923         105             0.000000        2.384615        0.765432
  1923         106             0.000000        6.000000        0.890830
  1923         107                   .              .              .
  1923         108                   .              .              .
  1923         109                   .              .              .
  1923         110+                  .              .              .
  1924           0             0.084430        0.105943        0.095353
  1924           1             0.010633        0.011975        0.011314
  1924           2             0.004588        0.005885        0.005245
  1924           3             0.003709        0.004752        0.004237
  1924           4             0.003087        0.003205        0.003147
  1924           5             0.002440        0.002141        0.002289
  1924           6             0.002255        0.001403        0.001825
  1924           7             0.001666        0.002490        0.002081
  1924           8             0.001461        0.002049        0.001757
  1924           9             0.001420        0.002089        0.001757
  1924          10             0.001755        0.001940        0.001848
  1924          11             0.001489        0.001931        0.001711
  1924          12             0.001522        0.001801        0.001662
  1924          13             0.001683        0.001714        0.001699
  1924          14             0.001405        0.001863        0.001635
  1924          15             0.001633        0.002197        0.001916
  1924          16             0.001866        0.002240        0.002054
  1924          17             0.002177        0.002450        0.002314
  1924          18             0.002940        0.002590        0.002766
  1924          19             0.002555        0.003150        0.002847
  1924          20             0.002350        0.003258        0.002791
  1924          21             0.003404        0.002586        0.003012
  1924          22             0.002932        0.003203        0.003061
  1924          23             0.003852        0.003807        0.003831
  1924          24             0.003022        0.003676        0.003337
  1924          25             0.003285        0.003052        0.003171
  1924          26             0.002791        0.003220        0.003002
  1924          27             0.003788        0.002504        0.003151
  1924          28             0.004051        0.003347        0.003700
  1924          29             0.003041        0.003396        0.003218
  1924          30             0.003650        0.004120        0.003885
  1924          31             0.003640        0.003404        0.003521
  1924          32             0.004614        0.003217        0.003911
  1924          33             0.003745        0.003041        0.003390
  1924          34             0.003818        0.004275        0.004048
  1924          35             0.005299        0.004346        0.004818
  1924          36             0.004845        0.003687        0.004260
  1924          37             0.004439        0.003749        0.004091
  1924          38             0.004768        0.005448        0.005112
  1924          39             0.005075        0.004253        0.004658
  1924          40             0.004675        0.006011        0.005355
  1924          41             0.003752        0.004282        0.004022
  1924          42             0.007086        0.005655        0.006355
  1924          43             0.006143        0.005597        0.005864
  1924          44             0.004743        0.005203        0.004977
  1924          45             0.007206        0.006509        0.006852
  1924          46             0.006241        0.005810        0.006022
  1924          47             0.006446        0.007269        0.006862
  1924          48             0.006795        0.007710        0.007257
  1924          49             0.007967        0.006985        0.007471
  1924          50             0.008388        0.008736        0.008564
  1924          51             0.008758        0.006783        0.007762
  1924          52             0.011256        0.010692        0.010971
  1924          53             0.009724        0.009972        0.009849
  1924          54             0.010786        0.010431        0.010607
  1924          55             0.011950        0.013547        0.012758
  1924          56             0.012054        0.013062        0.012565
  1924          57             0.012883        0.012345        0.012610
  1924          58             0.015554        0.014990        0.015268
  1924          59             0.015601        0.016368        0.015988
  1924          60             0.020145        0.021994        0.021075
  1924          61             0.016744        0.017906        0.017326
  1924          62             0.020067        0.025894        0.022978
  1924          63             0.022958        0.026137        0.024547
  1924          64             0.026079        0.028470        0.027277
  1924          65             0.028408        0.035190        0.031815
  1924          66             0.028621        0.035340        0.032008
  1924          67             0.034654        0.039493        0.037096
  1924          68             0.039115        0.042597        0.040865
  1924          69             0.038099        0.043524        0.040803
  1924          70             0.045341        0.050981        0.048130
  1924          71             0.038991        0.052181        0.045450
  1924          72             0.055387        0.057915        0.056615
  1924          73             0.059865        0.063372        0.061564
  1924          74             0.066029        0.078816        0.072228
  1924          75             0.073446        0.090620        0.081778
  1924          76             0.083241        0.097333        0.090089
  1924          77             0.081815        0.083481        0.082625
  1924          78             0.089684        0.105708        0.097431
  1924          79             0.096574        0.108829        0.102445
  1924          80             0.111150        0.126663        0.118274
  1924          81             0.087958        0.111146        0.098672
  1924          82             0.123349        0.144035        0.132940
  1924          83             0.121440        0.149685        0.134357
  1924          84             0.157977        0.186972        0.170866
  1924          85             0.173327        0.165025        0.169679
  1924          86             0.181253        0.205841        0.192195
  1924          87             0.206059        0.217754        0.211288
  1924          88             0.214582        0.196166        0.206446
  1924          89             0.220949        0.227252        0.223698
  1924          90             0.253236        0.305039        0.275811
  1924          91             0.255709        0.184922        0.224617
  1924          92             0.252682        0.325201        0.283790
  1924          93             0.280898        0.283512        0.281957
  1924          94             0.288615        0.277605        0.284004
  1924          95             0.381787        0.401113        0.390743
  1924          96             0.306681        0.252793        0.280992
