Canada-Ontario, Population size (abridged)	Last modified: 21 Dec 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1921           0             30156.82        31530.26        61687.08
  1921           1             30391.48        31319.44        61710.92
  1921           2             30962.11        31784.99        62747.10
  1921           3             31305.74        32030.55        63336.29
  1921           4             31363.62        32045.61        63409.23
  1921           5             31174.78        31846.67        63021.45
  1921           6             30807.73        31466.16        62273.89
  1921           7             30294.88        30922.00        61216.88
  1921           8             29659.71        30269.97        59929.68
  1921           9             28923.00        29494.25        58417.25
  1921          10             28074.47        28600.20        56674.67
  1921          11             27350.72        27858.79        55209.51
  1921          12             26893.01        27387.59        54280.60
  1921          13             26617.12        27089.10        53706.22
  1921          14             26298.68        26759.38        53058.06
  1921          15             25965.90        26461.15        52427.05
  1921          16             25699.44        26068.38        51767.82
  1921          17             25520.17        25490.87        51011.04
  1921          18             25400.01        24804.91        50204.92
  1921          19             25280.63        24171.64        49452.27
  1921          20             25166.55        23533.10        48699.65
  1921          21             25061.15        23156.98        48218.13
  1921          22             24950.65        23177.50        48128.15
  1921          23             24842.79        23449.99        48292.78
  1921          24             24737.45        23707.43        48444.88
  1921          25             24652.50        24027.85        48680.35
  1921          26             24456.07        24157.00        48613.07
  1921          27             24089.87        23971.12        48060.99
  1921          28             23624.81        23594.35        47219.16
  1921          29             23161.54        23238.44        46399.98
  1921          30             22638.88        22834.35        45473.23
  1921          31             22261.93        22620.97        44882.90
  1921          32             22139.14        22707.21        44846.35
  1921          33             22158.34        22951.45        45109.79
  1921          34             22135.44        23146.68        45282.12
  1921          35             22122.66        23342.23        45464.89
  1921          36             21905.92        23236.85        45142.77
  1921          37             21350.53        22710.03        44060.56
  1921          38             20592.98        21857.90        42450.88
  1921          39             19879.90        21045.13        40925.03
  1921          40             19130.55        20208.56        39339.11
  1921          41             18456.27        19453.62        37909.89
  1921          42             17896.75        18887.59        36784.34
  1921          43             17397.71        18433.75        35831.46
  1921          44             16897.30        17960.02        34857.32
  1921          45             16349.49        17452.25        33801.74
  1921          46             15862.51        16954.22        32816.73
  1921          47             15512.47        16515.17        32027.64
  1921          48             15237.96        16097.28        31335.24
  1921          49             14965.05        15707.47        30672.52
  1921          50             14720.43        15335.64        30056.07
  1921          51             14370.51        14873.23        29243.74
  1921          52             13810.72        14306.65        28117.37
  1921          53             13100.77        13656.81        26757.58
  1921          54             12429.15        13030.18        25459.33
  1921          55             11718.22        12379.37        24097.59
  1921          56             11156.69        11826.30        22982.99
  1921          57             10873.21        11457.68        22330.89
  1921          58             10717.49        11204.91        21922.40
  1921          59             10544.25        10933.71        21477.96
  1921          60             10377.14        10647.73        21024.87
  1921          61             10041.55        10282.22        20323.77
  1921          62              9531.61         9785.35        19316.96
  1921          63              8881.06         9152.67        18033.73
  1921          64              8273.70         8574.34        16848.04
  1921          65              7656.37         7984.21        15640.58
  1921          66              7073.54         7414.45        14487.99
  1921          67              6645.21         6935.82        13581.03
  1921          68              6278.97         6469.34        12748.31
  1921          69              5913.26         6049.85        11963.11
  1921          70              5557.06         5621.17        11178.23
  1921          71              5157.85         5173.11        10330.96
  1921          72              4785.91         4775.95         9561.86
  1921          73              4400.77         4337.74         8738.51
  1921          74              4050.16         3922.79         7972.95
  1921          75              3707.48         3548.87         7256.35
  1921          76              3339.86         3189.93         6529.79
  1921          77              3035.96         2870.68         5906.64
  1921          78              2736.89         2570.66         5307.55
  1921          79              2712.04         2465.57         5177.61
  1921          80              2521.78         2209.01         4730.79
  1921          81              2201.95         1830.77         4032.72
  1921          82              1873.44         1533.46         3406.90
  1921          83              1637.99         1413.82         3051.81
  1921          84              1387.77         1205.91         2593.68
  1921          85              1139.99          949.34         2089.33
  1921          86               929.54          765.13         1694.67
  1921          87               758.28          633.07         1391.35
  1921          88               591.35          497.72         1089.07
  1921          89               477.69          367.62          845.31
  1921          90               389.55          270.55          660.10
  1921          91               292.79          212.98          505.77
  1921          92               207.28          161.59          368.87
  1921          93               154.62          108.32          262.94
  1921          94               106.26           85.89          192.15
  1921          95                83.18           65.37          148.55
  1921          96                69.23           48.75          117.98
  1921          97                44.25           35.05           79.30
  1921          98                25.32           18.86           44.18
  1921          99                18.75           17.55           36.30
  1921         100                11.50           13.76           25.26
  1921         101                 7.28            8.95           16.23
  1921         102                 3.75            6.07            9.82
  1921         103                 2.20            4.22            6.42
  1921         104                 0.99            2.41            3.40
  1921         105                 0.61            1.65            2.26
  1921         106                 0.00            0.74            0.74
  1921         107                 0.00            0.28            0.28
  1921         108                 0.00            0.00            0.00
  1921         109                 0.00            0.00            0.00
  1921         110+                0.00            0.00            0.00
  1922           0             27699.85        28791.68        56491.53
  1922           1             29119.93        30086.59        59206.52
  1922           2             30143.43        31010.26        61153.69
  1922           3             30809.60        31597.68        62407.28
  1922           4             31160.61        31888.85        63049.46
  1922           5             31235.12        31919.77        63154.89
  1922           6             31075.71        31726.86        62802.57
  1922           7             30721.63        31349.53        62071.16
  1922           8             30214.31        30823.95        61038.26
  1922           9             29595.15        30188.38        59783.53
  1922          10             28861.00        29432.38        58293.38
  1922          11             28011.26        28546.64        56557.90
  1922          12             27297.52        27803.64        55101.16
  1922          13             26845.44        27336.48        54181.92
  1922          14             26568.62        27039.49        53608.11
  1922          15             26247.63        26702.92        52950.55
  1922          16             25915.30        26396.51        52311.81
  1922          17             25647.47        25987.68        51635.15
  1922          18             25458.30        25399.01        50857.31
  1922          19             25323.63        24722.66        50046.29
  1922          20             25200.37        24095.90        49296.27
  1922          21             25086.53        23450.23        48536.76
